numero_de_dossier,annee_budgetaire,nom_beneficiaire,numero_siret,objet_du_dossier,montant_vote,direction,nature_de_la_subvention,secteurs_d_activites_definies_par_l_association
2023_02373,2023,ASMF ASSOCIATION HANDISPORT DE PARIS PREMIERE ASSOCIATION FRANCAISE CREEE EN 1954,42982500000000.0,gestion courante de l'ASMF pour poursuivre ses activités sportives,6500.0,DJS,Fonctionnement,['sport']
2023_06454,2023,BROUHAHA,83483400000000.0,aide à la création-diffusion du projet KUTU de Theo Ceccaldi,4000.0,DAC,Projet,['culture & arts']
2023_02341,2023,COMITE DE PARIS DE HOCKEY,44797600000000.0,poursuivre la convention signée entre la Ville de Paris et le Comité de Paris de hockey,12000.0,DJS,Fonctionnement,['sport']
2023_09883,2023,"ELLES, WOMEN COMPOSERS",88534700000000.0,UN TEMPS POUR ELLES/MU23DIF2,6000.0,DAC,Projet,['culture & arts']
2023_05788,2023,LILY SCHOOL PARIS,81145500000000.0,L'anglais à travers les artistes du monde entierTAP 2023,20700.0,DASCO,Projet,['education & formation']
2024_03659,2024,COMITE ATTAC PARIS NORD OUEST,48067200000000.0,Festival de cinéma Images mouvementées - 22e édition,5000.0,DAC,Fonctionnement,none
2024_05296,2024,FEDERATION NATIONALE SOLIDARITE FEMMES (FNSF),32534700000000.0,Demande de subvention 2024,25000.0,DDCT,Projet,none
2024_03384,2024,OPTIM EMPLOI,39023300000000.0,IAE BIAE (DAE),58000.0,DAE,Fonctionnement,none
2024_08436,2024,STUDIO E.S,80472700000000.0,MOTHERS and DAUGHTERS SV24RES2,7000.0,DAC,Projet,none
2024_10515,2024,ASSOCIATION BROUHA ART,49779200000000.0,VANILLE - Création intéractive pour les adolescent·es sur le consentement,1000.0,DDCT,Projet,none
2022_02977,2022,DOUBLE JEU TENNIS PARIS,51419800000000.0,Organisation Tournoi LGBT International PARIS SUMMER CUP,1050.0,DJS,Fonctionnement,none
